date,time,close
10-11-2016,14:30:00,8564.34961
10-11-2016,15:30:00,8522.5
11-11-2016,09:30:00,8448.9502
11-11-2016,10:30:00,8391.84961
11-11-2016,11:30:00,8390.9502
11-11-2016,12:30:00,8362.9502
11-11-2016,13:30:00,8380
11-11-2016,14:30:00,8343.5498
11-11-2016,15:30:00,8311.40039
15-11-2016,09:30:00,8219.75
15-11-2016,10:30:00,8166.75
15-11-2016,11:30:00,8150.5498
15-11-2016,12:30:00,8147.1499
15-11-2016,13:30:00,8156.0498
15-11-2016,14:30:00,8148.2002
15-11-2016,15:30:00,8097.4502
16-11-2016,09:30:00,8143.5
16-11-2016,10:30:00,8150.4502
16-11-2016,11:30:00,8157.4502
16-11-2016,12:30:00,8174.5
16-11-2016,13:30:00,8171.1001
16-11-2016,14:30:00,8159.6001
16-11-2016,15:30:00,8094.4502
17-11-2016,09:30:00,8143.5
17-11-2016,10:30:00,8108.6001
17-11-2016,11:30:00,8116.8999
17-11-2016,12:30:00,8126.2998
17-11-2016,13:30:00,8102.6499
17-11-2016,14:30:00,8105.9502
17-11-2016,15:30:00,8088.7998
18-11-2016,09:30:00,8070.3999
18-11-2016,10:30:00,8068.0498
18-11-2016,11:30:00,8098.6499
18-11-2016,12:30:00,8089.3501
18-11-2016,13:30:00,8120.25
18-11-2016,14:30:00,8072.25
18-11-2016,15:30:00,8067.75
21-11-2016,09:30:00,8050.3501
21-11-2016,10:30:00,8013.1001
21-11-2016,11:30:00,7963.5
21-11-2016,12:30:00,7961.1499
21-11-2016,13:30:00,7967.3501
21-11-2016,14:30:00,7962.9502
21-11-2016,15:30:00,7942.8501
22-11-2016,09:30:00,8015.2998
22-11-2016,10:30:00,7971.9502
22-11-2016,11:30:00,7963.2002
22-11-2016,12:30:00,7955.8999
22-11-2016,13:30:00,7962.5
22-11-2016,14:30:00,7988.25
22-11-2016,15:30:00,8014.5
23-11-2016,09:30:00,8023.6001
23-11-2016,10:30:00,7985
23-11-2016,11:30:00,8024.2002
23-11-2016,12:30:00,8008.1001
23-11-2016,13:30:00,8023.7998
23-11-2016,14:30:00,8038.1499
23-11-2016,15:30:00,8028.3501
24-11-2016,09:30:00,7990
24-11-2016,10:30:00,7988.5
24-11-2016,11:30:00,7996.9502
24-11-2016,12:30:00,8004.2002
24-11-2016,13:30:00,7967.7002
24-11-2016,14:30:00,8003.9502
24-11-2016,15:30:00,7974.25
25-11-2016,09:30:00,7994.2002
25-11-2016,10:30:00,8020.3999
25-11-2016,11:30:00,8055.6001
25-11-2016,12:30:00,8067.9502
25-11-2016,13:30:00,8075.1001
25-11-2016,14:30:00,8086.75
25-11-2016,15:30:00,8110.1499
28-11-2016,09:30:00,8119.1001
28-11-2016,10:30:00,8100
28-11-2016,11:30:00,8126.8999
28-11-2016,12:30:00,8133.3999
28-11-2016,13:30:00,8122.8501
28-11-2016,14:30:00,8122.0498
28-11-2016,15:30:00,8119
29-11-2016,09:30:00,8160.7998
29-11-2016,10:30:00,8185.6499
29-11-2016,11:30:00,8186.7002
29-11-2016,12:30:00,8186.5
29-11-2016,13:30:00,8183.8999
29-11-2016,14:30:00,8169.25
29-11-2016,15:30:00,8147
30-11-2016,09:30:00,8154.7002
30-11-2016,10:30:00,8175
30-11-2016,11:30:00,8178.3999
30-11-2016,12:30:00,8167.1499
30-11-2016,13:30:00,8177.5
30-11-2016,14:30:00,8206.75
30-11-2016,15:30:00,8214.59961
01-12-2016,09:30:00,8235
01-12-2016,10:30:00,8233.15039
01-12-2016,11:30:00,8221.15039
01-12-2016,12:30:00,8214.7002
01-12-2016,13:30:00,8225.9502
01-12-2016,14:30:00,8215.7998
01-12-2016,15:30:00,8194.09961
02-12-2016,09:30:00,8140.8999
02-12-2016,10:30:00,8128.3999
02-12-2016,11:30:00,8119.6499
02-12-2016,12:30:00,8114
02-12-2016,13:30:00,8136.7998
02-12-2016,14:30:00,8122.1499
02-12-2016,15:30:00,8088
05-12-2016,09:30:00,8099.1499
05-12-2016,10:30:00,8082.3501
05-12-2016,11:30:00,8076.9502
05-12-2016,12:30:00,8064.7002
05-12-2016,13:30:00,8085.1499
05-12-2016,14:30:00,8135.6001
05-12-2016,15:30:00,8139.0498
06-12-2016,09:30:00,8164.3501
06-12-2016,10:30:00,8155
06-12-2016,11:30:00,8165.1001
06-12-2016,12:30:00,8168.1499
06-12-2016,13:30:00,8160.2002
06-12-2016,14:30:00,8176.8999
06-12-2016,15:30:00,8138.3501
07-12-2016,09:30:00,8164.0498
07-12-2016,10:30:00,8153.3501
07-12-2016,11:30:00,8158.2998
07-12-2016,12:30:00,8164.8999
07-12-2016,13:30:00,8188.8999
07-12-2016,14:30:00,8178.6001
07-12-2016,15:30:00,8114.0498
