date,daily_mtm_per_lot,slippage,Portdolio
12-04-2016,993.75,-300,"? 13,50,040.00"
13-04-2016,1316.25,-300,"? 13,51,056.25"
18-04-2016,1826.25,-300,"? 13,52,582.50"
20-04-2016,-701.25,-300,"? 13,51,581.25"
21-04-2016,4886.25,-300,"? 13,56,167.50"
22-04-2016,-453.75,-300,"? 13,55,413.75"
25-04-2016,892.5,-300,"? 13,56,006.25"
26-04-2016,7758.75,-300,"? 13,63,465.00"
27-04-2016,-3480,-300,"? 13,59,685.00"
28-04-2016,9131.25,-300,"? 13,68,516.25"
29-04-2016,-1492.5,-300,"? 13,66,723.75"
02-05-2016,-1548.75,-300,"? 13,64,875.00"
03-05-2016,6288.75,-300,"? 13,70,863.75"
04-05-2016,-2163.75,-300,"? 13,68,400.00"
05-05-2016,-3187.5,-300,"? 13,64,912.50"
06-05-2016,2535,-300,"? 13,67,147.50"
09-05-2016,2733.75,-300,"? 13,69,581.25"
10-05-2016,686.25,-300,"? 13,69,967.50"
11-05-2016,-1005,-300,"? 13,68,662.50"
12-05-2016,-2002.5,-300,"? 13,66,360.00"
13-05-2016,866.25,-300,"? 13,66,926.25"
16-05-2016,-318.75,-300,"? 13,66,307.50"
17-05-2016,-307.5,-300,"? 13,65,700.00"
18-05-2016,1237.5,-300,"? 13,66,637.50"
19-05-2016,2565,-300,"? 13,68,902.50"
20-05-2016,-247.5,-300,"? 13,68,355.00"
23-05-2016,-1957.5,-300,"? 13,66,097.50"
24-05-2016,1443.75,-300,"? 13,67,241.25"
25-05-2016,5077.5,-300,"? 13,72,018.75"
26-05-2016,7533.75,-300,"? 13,79,252.50"
27-05-2016,1361.25,-300,"? 13,80,313.75"
30-05-2016,-926.25,-300,"? 13,79,087.50"
31-05-2016,-1357.5,-300,"? 13,77,430.00"
01-06-2016,-2681.25,-300,"? 13,74,448.75"
02-06-2016,2868.75,-300,"? 13,77,017.50"
03-06-2016,2141.25,-300,"? 13,78,858.75"
06-06-2016,855,-300,"? 13,79,413.75"
07-06-2016,1481.25,-300,"? 13,80,595.00"
08-06-2016,-1815,-300,"? 13,78,480.00"
09-06-2016,1421.25,-300,"? 13,79,601.25"
10-06-2016,2148.75,-300,"? 13,81,450.00"
13-06-2016,82.5,-300,"? 13,81,232.50"
14-06-2016,-1462.5,-300,"? 13,79,470.00"
15-06-2016,4263.75,-300,"? 13,83,433.75"
16-06-2016,-1826.25,-300,"? 13,81,307.50"
17-06-2016,-551.25,-300,"? 13,80,456.25"
20-06-2016,3003.75,-300,"? 13,83,160.00"
21-06-2016,-270,-300,"? 13,82,590.00"
22-06-2016,1046.25,-300,"? 13,83,336.25"
23-06-2016,4447.5,-300,"? 13,87,483.75"
24-06-2016,-4965,-300,"? 13,82,218.75"
27-06-2016,-3900,-300,"? 13,78,018.75"
28-06-2016,180,-300,"? 13,77,898.75"
29-06-2016,-678.75,-300,"? 13,76,920.00"
30-06-2016,288.75,-300,"? 13,76,908.75"
01-07-2016,-1935,-300,"? 13,74,673.75"
04-07-2016,-333.75,-300,"? 13,74,040.00"
05-07-2016,-326.25,-300,"? 13,73,413.75"
07-07-2016,-3945,-300,"? 13,69,168.75"
08-07-2016,0,-300,"? 13,68,868.75"
11-07-2016,753.75,-300,"? 13,69,322.50"
12-07-2016,1612.5,-300,"? 13,70,635.00"
13-07-2016,472.5,-300,"? 13,70,807.50"
14-07-2016,3656.25,-300,"? 13,74,163.75"
15-07-2016,-821.25,-300,"? 13,73,042.50"
18-07-2016,3967.5,-300,"? 13,76,710.00"
19-07-2016,-2471.25,-300,"? 13,73,938.75"
20-07-2016,382.5,-300,"? 13,74,021.25"
21-07-2016,3367.5,-300,"? 13,77,088.75"
22-07-2016,2193.75,-300,"? 13,78,982.50"
25-07-2016,6663.75,-300,"? 13,85,346.25"
26-07-2016,1785,-300,"? 13,86,831.25"
